District,Primary Type,0
17.0,ASSAULT,5.22240527183
17.0,BATTERY,16.1614497529
17.0,BURGLARY,6.57331136738
17.0,CRIM SEXUAL ASSAULT,0.362438220758
17.0,CRIMINAL DAMAGE,13.8714991763
17.0,CRIMINAL TRESPASS,1.74629324547
17.0,DECEPTIVE PRACTICE,5.17298187809
17.0,GAMBLING,0.0658978583196
17.0,HOMICIDE,0.0329489291598
17.0,INTERFERENCE WITH PUBLIC OFFICER,0.230642504119
17.0,INTIMIDATION,0.0658978583196
17.0,KIDNAPPING,0.148270181219
17.0,LIQUOR LAW VIOLATION,0.329489291598
17.0,MOTOR VEHICLE THEFT,5.63426688633
17.0,NARCOTICS,4.92586490939
17.0,OBSCENITY,0.0164744645799
17.0,OFFENSE INVOLVING CHILDREN,0.856672158155
17.0,OTHER OFFENSE,5.8978583196
17.0,PROSTITUTION,0.444810543657
17.0,PUBLIC PEACE VIOLATION,0.939044481054
17.0,ROBBERY,2.7018121911
17.0,SEX OFFENSE,0.461285008237
17.0,STALKING,0.0823723228995
17.0,THEFT,27.1663920923
17.0,WEAPONS VIOLATION,0.675453047776
18.0,ARSON,0.0416189782541
18.0,ASSAULT,3.56882738529
18.0,BATTERY,12.5689314327
18.0,BURGLARY,2.18499635834
18.0,CONCEALED CARRY LICENSE VIOLATION,0.020809489127
18.0,CRIM SEXUAL ASSAULT,0.395380293414
18.0,CRIMINAL DAMAGE,6.64863177609
18.0,CRIMINAL TRESPASS,4.28675476017
18.0,DECEPTIVE PRACTICE,10.5816252211
18.0,HOMICIDE,0.020809489127
18.0,INTERFERENCE WITH PUBLIC OFFICER,0.291332847779
18.0,INTIMIDATION,0.0416189782541
18.0,KIDNAPPING,0.0312142336906
18.0,LIQUOR LAW VIOLATION,0.436999271668
18.0,MOTOR VEHICLE THEFT,2.14337738009
18.0,NARCOTICS,2.38268650505
18.0,NON-CRIMINAL,0.020809489127
18.0,OFFENSE INVOLVING CHILDREN,0.322547081469
18.0,OTHER NARCOTIC VIOLATION,0.0312142336906
18.0,OTHER OFFENSE,3.14223285818
18.0,PROSTITUTION,0.686713141192
18.0,PUBLIC INDECENCY,0.0104047445635
18.0,PUBLIC PEACE VIOLATION,0.582665695557
18.0,ROBBERY,1.94568723338
18.0,SEX OFFENSE,0.322547081469
18.0,STALKING,0.0520237228176
18.0,THEFT,46.9149932369
18.0,WEAPONS VIOLATION,0.322547081469
19.0,ARSON,0.147232037691
19.0,ASSAULT,3.85747938751
19.0,BATTERY,12.6521397723
19.0,BURGLARY,5.96780526109
19.0,CONCEALED CARRY LICENSE VIOLATION,0.00981546917943
19.0,CRIM SEXUAL ASSAULT,0.539850804868
19.0,CRIMINAL DAMAGE,10.5712603062
19.0,CRIMINAL TRESPASS,3.55319984295
19.0,DECEPTIVE PRACTICE,7.54809579898
19.0,GAMBLING,0.00981546917943
19.0,HOMICIDE,0.0490773458971
19.0,INTERFERENCE WITH PUBLIC OFFICER,0.16686297605
19.0,INTIMIDATION,0.0490773458971
19.0,KIDNAPPING,0.0294464075383
19.0,LIQUOR LAW VIOLATION,0.392618767177
19.0,MOTOR VEHICLE THEFT,3.29799764429
19.0,NARCOTICS,5.96780526109
19.0,NON-CRIMINAL,0.0294464075383
19.0,OBSCENITY,0.00981546917943
19.0,OFFENSE INVOLVING CHILDREN,0.451511582254
19.0,OTHER NARCOTIC VIOLATION,0.0196309383589
19.0,OTHER OFFENSE,4.17157440126
19.0,PROSTITUTION,0.068708284256
19.0,PUBLIC INDECENCY,0.0294464075383
19.0,PUBLIC PEACE VIOLATION,0.873576756969
19.0,ROBBERY,3.07224185316
19.0,SEX OFFENSE,0.51040439733
19.0,STALKING,0.00981546917943
19.0,THEFT,35.669414998
19.0,WEAPONS VIOLATION,0.274833137024
20.0,ARSON,0.194823267465
20.0,ASSAULT,5.67770665182
20.0,BATTERY,17.8959087114
20.0,BURGLARY,4.95407737267
20.0,CRIM SEXUAL ASSAULT,0.640133593098
20.0,CRIMINAL DAMAGE,10.7987753966
20.0,CRIMINAL TRESPASS,2.75535763986
20.0,DECEPTIVE PRACTICE,6.48483161703
20.0,GAMBLING,0.0278318953521
20.0,HOMICIDE,0.0556637907041
20.0,INTERFERENCE WITH PUBLIC OFFICER,0.361814639577
20.0,INTIMIDATION,0.0278318953521
20.0,KIDNAPPING,0.0834956860562
20.0,LIQUOR LAW VIOLATION,0.222655162817
20.0,MOTOR VEHICLE THEFT,3.78513776788
20.0,NARCOTICS,6.59615919844
20.0,OBSCENITY,0.0278318953521
20.0,OFFENSE INVOLVING CHILDREN,0.500974116337
20.0,OTHER OFFENSE,7.20846089619
20.0,PROSTITUTION,0.0278318953521
20.0,PUBLIC PEACE VIOLATION,0.723629279154
20.0,ROBBERY,2.47703868633
20.0,SEX OFFENSE,0.66796548845
20.0,THEFT,27.1639298636
20.0,WEAPONS VIOLATION,0.640133593098
22.0,ARSON,0.068306010929
22.0,ASSAULT,7.18579234973
22.0,BATTERY,16.8306010929
22.0,BURGLARY,5.72404371585
22.0,CRIM SEXUAL ASSAULT,0.327868852459
22.0,CRIMINAL DAMAGE,10.6557377049
22.0,CRIMINAL TRESPASS,2.89617486339
22.0,DECEPTIVE PRACTICE,5.8606557377
22.0,GAMBLING,0.0819672131148
22.0,HOMICIDE,0.204918032787
22.0,INTERFERENCE WITH PUBLIC OFFICER,0.450819672131
22.0,INTIMIDATION,0.0409836065574
22.0,KIDNAPPING,0.218579234973
22.0,LIQUOR LAW VIOLATION,0.0136612021858
22.0,MOTOR VEHICLE THEFT,3.74316939891
22.0,NARCOTICS,8.3606557377
22.0,OBSCENITY,0.0136612021858
22.0,OFFENSE INVOLVING CHILDREN,1.25683060109
22.0,OTHER OFFENSE,7.39071038251
22.0,PROSTITUTION,0.0546448087432
22.0,PUBLIC PEACE VIOLATION,0.887978142077
22.0,ROBBERY,3.23770491803
22.0,SEX OFFENSE,0.464480874317
22.0,STALKING,0.0546448087432
22.0,THEFT,22.5956284153
22.0,WEAPONS VIOLATION,1.37978142077
24.0,ARSON,0.0317107975266
24.0,ASSAULT,6.64341208181
24.0,BATTERY,18.7727921357
24.0,BURGLARY,6.13603932139
24.0,CRIM SEXUAL ASSAULT,0.586649754241
24.0,CRIMINAL DAMAGE,11.3366101157
24.0,CRIMINAL TRESPASS,3.34548913905
24.0,DECEPTIVE PRACTICE,5.50182337086
24.0,HOMICIDE,0.110987791343
24.0,INTERFERENCE WITH PUBLIC OFFICER,0.507372760425
24.0,INTIMIDATION,0.0317107975266
24.0,KIDNAPPING,0.0634215950531
24.0,LIQUOR LAW VIOLATION,0.190264785159
24.0,MOTOR VEHICLE THEFT,3.61503091803
24.0,NARCOTICS,6.42143649913
24.0,NON-CRIMINAL,0.0158553987633
24.0,OFFENSE INVOLVING CHILDREN,0.824480735691
24.0,OTHER OFFENSE,6.99223085461
24.0,PROSTITUTION,0.348818772792
24.0,PUBLIC PEACE VIOLATION,0.539083557951
24.0,ROBBERY,3.39305533534
24.0,SEX OFFENSE,0.380529570319
24.0,STALKING,0.0634215950531
24.0,THEFT,23.2123037894
24.0,WEAPONS VIOLATION,0.935468527033
25.0,ARSON,0.225102848715
25.0,ASSAULT,6.66770162229
25.0,BATTERY,18.9552122953
25.0,BURGLARY,5.11526818288
25.0,CRIM SEXUAL ASSAULT,0.426919195839
25.0,CRIMINAL DAMAGE,10.672979896
25.0,CRIMINAL TRESPASS,1.80082278972
25.0,DECEPTIVE PRACTICE,4.40891096794
25.0,GAMBLING,0.108670340759
25.0,HOMICIDE,0.124194675153
25.0,INTERFERENCE WITH PUBLIC OFFICER,0.737405883723
25.0,INTIMIDATION,0.0465730031825
25.0,KIDNAPPING,0.13195684235
25.0,LIQUOR LAW VIOLATION,0.124194675153
25.0,MOTOR VEHICLE THEFT,4.82806799658
25.0,NARCOTICS,10.2771093689
25.0,NON-CRIMINAL,0.00776216719708
25.0,OBSCENITY,0.0155243343942
25.0,OFFENSE INVOLVING CHILDREN,1.30404408911
25.0,OTHER OFFENSE,7.93293487542
25.0,PROSTITUTION,1.45152526585
25.0,PUBLIC PEACE VIOLATION,1.10998990918
25.0,ROBBERY,3.22129938679
25.0,SEX OFFENSE,0.357059691066
25.0,STALKING,0.0155243343942
25.0,THEFT,18.9940231313
25.0,WEAPONS VIOLATION,0.939222230847
